itemnumber,checkouts,biblionumber,itemcallnumber,author,title
271828,1,184879,PN1995.9.F6735 W44 2006,,Die weisse massai
271843,1,184894,BL41 .P36 2006,"Pals, Daniel L.",Eight theories of religion /
271855,1,184906,PS3552.A455 I5 2005,"Ball, John Dudley,",In the heat of the night /
271892,1,184943,PN1997 .P56 2005,,Pink Floyd the wall
271931,1,184977,DA332 .L63 2007,"Loades, D. M.",Henry VIII :
271944,1,184990,M32.8 .T62 1986x,,Today's very best jazz piano solos.
271953,1,184999,PN2080 .M675 2007,,More scenes and monologs from the best new plays :
271954,1,185000,PN2039 .R63 2007,"Roach, Joseph R.,",It /
271956,1,185002,BT708 .Q44 2007,,Queer theology :
271959,1,185005,DA347 .L5794 2006,"Loades, D. M.",Mary Tudor :
271965,1,185011,BL60 .D296 2007,"Davie, Grace.",The sociology of religion /
271986,1,185032,D768.153 .C66 2006,"Copp, J. T.",Cinderella army :
271988,1,185034,DT433.545.G86 E75 2006,,Ethnography of the Gusii of Western Kenya :
271989,1,185035,PN1997 .L583 2007,,Live free or die hard
272022,1,185065,M22.C34 W67 2006,,Chess Pieces
272032,1,185075,LB41 .E777 2007,,Ethical visions of education :
272034,1,185077,F ADES QUIN A 27,"Adès, Thomas.",Piano quintet
272055,1,185096,ES MOZA SYMP M 12,"Mozart, Wolfgang Amadeus,",Symphonien
272069,1,185107,V DOYL HB D 52,"Doyle, Arthur Conan,",The hound of the Baskervilles
272070,1,185108,V HOME ODYS H 43,Homer,The Odyssey
272073,1,185112,V HOME ILLI H 32,Homer,The Iliad
272079,1,185118,PE1408 .P774 2007,"Prose, Francine,",Reading like a writer :
272083,1,185122,JK468.I6 W44 2007,"Weiner, Tim",Legacy of ashes :
272095,1,185133,QP408 .W64 2007,"Wolf, Maryanne.",Proust and the squid :
272104,1,185142,GV1785.M36 A3 2007,"Manning, Frankie",Frankie Manning :
272115,1,185153,PS3545.I5365 A17 2007,"Williams, Tennessee,",The collected poems of Tennessee Williams /
272118,1,185156,QA76.9.D343 L378 2006,"Larose, Daniel T.",Data mining methods and models /
272126,1,185164,QA76.9.A25 S687 2007,"Stamp, Mark.",Applied cryptanalysis :
272127,1,185165,D756.5.N6 C674 2004,"Copp, J. T.",Fields of fire :
272161,1,185196,BL1220 .K733 2007,,Krishna :
272193,1,185226,PS3572.O5 B7 2006,"Vonnegut, Kurt","Breakfast of champions, or, Goodbye blue Monday! /"
272205,1,185238,PN6727.W285 A35 2007,"Ware, Chris,",The ACME novelty date book :
272341,1,185326,HC79.E5 K422 2007,"Keohane, Nathaniel O.",Markets and the environment /
272378,1,185349,BL2710 .P45 2007,,Philosophers without gods :
272385,1,185356,PS3561.I483 D86 2008,"King, Stephen,",Duma Key /
272393,1,185364,PT772 .W366 2007,"Wehdeking, Volker,",Generationenwechsel :
272403,1,185372,HD6870.5.Z55 S56 2004,"Simons, R. E.",All my life and all my strength /
272419,1,185383,QD262 .P574 2007,"Pirrung, Michael C.",The synthetic organic chemist's companion /
272421,1,185385,QD701 .T45 2007,"Telle, Helmut H.",Laser chemistry :
272427,1,185391,PQ6066 .M58 2007,,Modelos de vida en la España del Siglo de Oro /
272433,1,185397,DT1975 .G49 2007,"Gevisser, Mark.",Thabo Mbeki :
272451,1,185413,DS774 .L285 2007,"Lary, Diana.",China's Republic /
272454,1,185416,HQ1767 .H47 2007,"Hershatter, Gail",Women in China's long twentieth century /
272462,1,185424,ML1255 .L69 2007,"Lowe, Melanie Diane,",Pleasure and meaning in the classical symphony /
272466,1,185428,ML410.W19 B8 2006,"Brener, Milton E.,",Richard Wagner and the Jews /
272473,1,185435,DS889.15 .S33 2007,"Seaton, Philip A.,",Japan's contested war memories :
272482,1,185439,PZ8.3.P9 Wiz 2007,"Prelutsky, Jack",The wizard /
272494,1,185451,QH91.8.B6 O3 2007,,Oceans in peril :
272519,1,185473,MA ANIM RETR A 29,,Retrospective
272532,1,185486,PN1995.9.F6735 F33 2000,,Das Fahrrad
